DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,RESIDENCE:Residence,SEX:Sex,AGE:Current age,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MEASURE:Unit of measure,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2001,-0.608,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2002,-0.598,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2003,-0.584,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2004,-0.577,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2005,-0.562,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2006,-0.505,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2007,-0.453,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2008,-0.309,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2009,-0.193,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2010,-0.121,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2011,-0.024,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2012,0.075,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2013,0.127,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2014,0.135,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2015,0.128,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2016,0.119,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2017,0.112,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2018,0.106,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2019,0.1,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2020,0.052,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,ARG: Argentina,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2021,0.052,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1991,3.996,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1992,1.957,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1993,1.329,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1994,3.017,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1995,4.439,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1996,4.556,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1997,3.66,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1998,3.883,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1999,4.532,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2000,5.768,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2001,5.936,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2002,5.555,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2003,5.289,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2004,5.497,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2005,6.57,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2006,9.431,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2007,12.131,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2008,13.192,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2009,10.949,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2010,7.605,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2011,8.884,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2012,10.423,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2013,9.327,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2014,8.479,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2015,8.833,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2016,10.06,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2017,10.008,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2018,8.857,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2019,9.345,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2020,4.605,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,AUS: Australia,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2021,4.56,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1991,0.478,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1992,0.458,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1993,0.51,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1994,0.486,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1995,0.374,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1996,0.244,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1997,-0.008,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1998,-0.306,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,1999,-0.727,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2000,-1.015,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2001,-1.216,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2002,-1.333,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2003,-1.339,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
UNICEF:DM(1.0): Demography,BLR: Belarus,"DM_NET_MG_RATE: Net migration rate (per 1,000 population)",_T: Total,_T: Total,_T: Total,2004,-1.293,NUMBER: Number,,https://population.un.org/wpp/,Data from 237 countries/areas from WPP2022,,,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition.",,,,
